id,name,important
CHAT,CHAT,False
SENT,SENT,True
INBOX,INBOX,True
IMPORTANT,IMPORTANT,True
TRASH,TRASH,False
DRAFT,DRAFT,False
SPAM,SPAM,False
CATEGORY_FORUMS,CATEGORY_FORUMS,True
CATEGORY_UPDATES,CATEGORY_UPDATES,False
CATEGORY_PERSONAL,CATEGORY_PERSONAL,False
CATEGORY_PROMOTIONS,CATEGORY_PROMOTIONS,False
CATEGORY_SOCIAL,CATEGORY_SOCIAL,False
STARRED,STARRED,True
UNREAD,UNREAD,False
Label_1398612761503638084,Tech-stack,False
Label_1779435252775195638,Jeeves,False
Label_2133012251353728926,webinars,True
Label_2342301823347934052,Linear,False
Label_2345619012527348954,Downtime,True
Label_2416472101400489023,slack,False
Label_244166638792995647,Invoices,False
Label_2604994218956899008,Olimail,True
Label_3488001895133379642,Wootware Backend,True
Label_4071980015022570477,Company wide,True
Label_4439251804281768201,Cloudflare,False
Label_4571664647581543845,COT (COST To COMPANY,False
Label_4637842932651213329,Sales queries,False
Label_4640104689214292298,TODO,True
Label_4712545434163935338,Openai,False
Label_4824070924259082040,Dev Team,True
Label_5605464763448124054,Github,False
Label_6607905733386445145,AI-Stuff,False
Label_8435225440510537378,Dev Discord,False
